subtask	score
en.sub.lower.topic-model-100-0.stop-top-200	-71.13449124178103
en.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-66.98484659825687
en.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-66.11580944079934
en.sub.lower.topic-model-100-1.stop-top-200	-70.6830921036695
en.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-66.79632195316661
en.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-69.06051424107785
en.sub.lower.topic-model-100-2.stop-top-200	-68.80573711294143
en.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-65.89957194229633
en.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-68.37836724943836
en.sub.lower.topic-model-100-3.stop-top-200	-69.05220027573525
en.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-65.24162520962135
en.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-67.54919461064165
en.sub.lower.topic-model-100-4.stop-top-200	-69.03851709269881
en.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-66.60803317636837
en.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-66.62860625680564
en.sub.lower.topic-model-100-5.stop-top-200	-69.43453266974817
en.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-66.93584944658207
en.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-69.24103785976229
en.sub.lower.topic-model-100-6.stop-top-200	-70.07944096503458
en.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-69.03360228698304
en.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-67.73917545113028
en.sub.lower.topic-model-100-7.stop-top-200	-71.72234180387692
en.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-66.9790505571963
en.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-67.70774236128656
en.sub.lower.topic-model-100-8.stop-top-200	-72.06889101080192
en.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-63.202822197093454
en.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-67.7286006080879
en.sub.lower.topic-model-100-9.stop-top-200	-69.88467040679042
en.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-66.94126474864939
en.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-69.71541366272307
fa.sub.lower.topic-model-100-0.stop-top-200	-75.60793226046914
fa.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-74.58111155099999
fa.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-74.68397465873655
fa.sub.lower.topic-model-100-1.stop-top-200	-78.26400204460303
fa.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-72.86713596761342
fa.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-75.95603562560102
fa.sub.lower.topic-model-100-2.stop-top-200	-78.33523030279162
fa.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-74.97868079381078
fa.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-74.46717114829234
fa.sub.lower.topic-model-100-3.stop-top-200	-77.71950542738038
fa.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-73.75714868093685
fa.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-73.61029938019702
fa.sub.lower.topic-model-100-4.stop-top-200	-77.14061594617601
fa.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-74.84558451539294
fa.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-73.78669559008635
fa.sub.lower.topic-model-100-5.stop-top-200	-75.97321720142476
fa.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-77.23506832610856
fa.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-74.57301463934172
fa.sub.lower.topic-model-100-6.stop-top-200	-77.29406267099958
fa.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-74.59921985524782
fa.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-74.85460200812753
fa.sub.lower.topic-model-100-7.stop-top-200	-78.02691353589299
fa.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-74.84669802771168
fa.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-74.29360033889786
fa.sub.lower.topic-model-100-8.stop-top-200	-80.89955384469417
fa.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-75.63113508197065
fa.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-72.8924729479678
fa.sub.lower.topic-model-100-9.stop-top-200	-77.96559422350211
fa.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-76.89979090040262
fa.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-73.38854053449512
ko.sub.lower.topic-model-100-0.stop-top-200	-82.68558930073942
ko.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-72.64600375984769
ko.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-75.1615988261122
ko.sub.lower.topic-model-100-1.stop-top-200	-81.87544176219716
ko.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-74.29661662655279
ko.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-75.08291653037378
ko.sub.lower.topic-model-100-2.stop-top-200	-83.00259621196199
ko.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-75.0946956177927
ko.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-73.24758754844689
ko.sub.lower.topic-model-100-3.stop-top-200	-83.29786716000507
ko.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-76.23468364880898
ko.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-73.61889676884047
ko.sub.lower.topic-model-100-4.stop-top-200	-81.86141814247762
ko.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-73.97950757448054
ko.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-73.3813198992668
ko.sub.lower.topic-model-100-5.stop-top-200	-82.18151070376356
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-72.79157040150776
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-72.80305460213228
ko.sub.lower.topic-model-100-6.stop-top-200	-80.13210577566434
ko.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-72.49629708844745
ko.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-71.372719498776
ko.sub.lower.topic-model-100-7.stop-top-200	-82.36648764295732
ko.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-73.85366466143927
ko.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-70.93032943746697
ko.sub.lower.topic-model-100-8.stop-top-200	-81.21944245252098
ko.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-72.90934658962901
ko.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-73.53828861107836
ko.sub.lower.topic-model-100-9.stop-top-200	-82.39939579247225
ko.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-71.48745846943062
ko.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-72.01214652669677
ru.sub.lower.topic-model-100-0.stop-top-200	-84.52093254764615
