subtask	score
en.sub.lower.topic-model-100-0.stop-top-200	-71.13449124178103
en.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-71.42745209381478
en.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-70.04603627745009
en.sub.lower.topic-model-100-1.stop-top-200	-70.6830921036695
en.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-71.94246960375402
en.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-73.0726261046038
en.sub.lower.topic-model-100-2.stop-top-200	-68.80573711294143
en.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-69.64303621071423
en.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-69.32001062046699
en.sub.lower.topic-model-100-3.stop-top-200	-69.05220027573525
en.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-70.41102319737794
en.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-71.61976890000773
en.sub.lower.topic-model-100-4.stop-top-200	-69.0331022719886
en.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-70.80643146350057
en.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-71.7289979084774
en.sub.lower.topic-model-100-5.stop-top-200	-69.43246761435341
en.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-70.55877764145718
en.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-72.84519884877835
en.sub.lower.topic-model-100-6.stop-top-200	-70.08219560727984
en.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-73.46460463944756
en.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-71.29408553222956
en.sub.lower.topic-model-100-7.stop-top-200	-71.72539662184114
en.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-70.88835319222366
en.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-71.67177545710382
en.sub.lower.topic-model-100-8.stop-top-200	-71.82258202608725
en.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-69.77860735744213
en.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-71.31163622117005
en.sub.lower.topic-model-100-9.stop-top-200	-69.88467040679042
en.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-70.83660634729553
en.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-73.11444854525018
fa.sub.lower.topic-model-100-0.stop-top-200	-75.6338066822134
fa.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-78.23161776304224
fa.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-78.28525843760961
fa.sub.lower.topic-model-100-1.stop-top-200	-78.26400204460303
fa.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-77.59450858000389
fa.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-79.01307715246992
fa.sub.lower.topic-model-100-2.stop-top-200	-78.35068838259157
fa.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-79.6395854252811
fa.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-78.55336372100587
fa.sub.lower.topic-model-100-3.stop-top-200	-77.71175090369302
fa.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-78.68320078645142
fa.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-77.47822322276487
fa.sub.lower.topic-model-100-4.stop-top-200	-77.14061594617601
fa.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-77.94368172970856
fa.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-76.76391347415667
fa.sub.lower.topic-model-100-5.stop-top-200	-75.99827661718219
fa.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-79.92652841535865
fa.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-76.01600080226387
fa.sub.lower.topic-model-100-6.stop-top-200	-77.01795980580685
fa.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-78.62359117088165
fa.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-77.95090980758312
fa.sub.lower.topic-model-100-7.stop-top-200	-78.02673068410765
fa.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-77.7932017202756
fa.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-77.39067946345693
fa.sub.lower.topic-model-100-8.stop-top-200	-80.89955384469417
fa.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-78.0058050704635
fa.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-77.32740751256526
fa.sub.lower.topic-model-100-9.stop-top-200	-77.96559422350211
fa.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-77.85431049625836
fa.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-77.38382455920774
ko.sub.lower.topic-model-100-0.stop-top-200	-82.68558930073942
ko.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-82.2752125239668
ko.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-82.0367641265974
ko.sub.lower.topic-model-100-1.stop-top-200	-81.87544176219716
ko.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-85.32820591011797
ko.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-80.58164799591079
