subtask	num_docs	num_word_types	num_word_tokens
en.sub.lower	200000	1069414	79093580
en.sub.lem-treetagger.parsed.lower	200000	945058	79093580
en.sub.lem-udpipe.parsed.lower	200000	1061780	79093580
fa.sub.lower	200000	659000	28287756
fa.sub.lem-treetagger.parsed.lower	200000	642215	28287756
fa.sub.lem-udpipe.parsed.lower	200000	605531	28287756
ko.sub.lower	200000	2691681	38549239
ko.sub.lem-treetagger.parsed.lower	200000	2095922	38549239
ko.sub.lem-udpipe.parsed.lower	200000	1455379	38549239
ru.sub.lower	200000	1562822	63208060
ru.sub.lem-treetagger.parsed.lower	200000	1355049	63208060
ru.sub.lem-udpipe.parsed.lower	200000	1055479	63208060
