subtask	score
en.sub.lower.topic-model-100-0.stop-top-200	-61.67536483078773
en.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-59.79470114615775
en.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-60.851350183728236
en.sub.lower.topic-model-100-1.stop-top-200	-62.13913505358522
en.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-60.109541482661214
en.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-62.48881388819337
en.sub.lower.topic-model-100-2.stop-top-200	-61.82302798180829
en.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-60.196606496668345
en.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-60.2816932633987
en.sub.lower.topic-model-100-3.stop-top-200	-62.981593290695066
en.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-60.30289071227151
en.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-63.54876199551651
en.sub.lower.topic-model-100-4.stop-top-200	-61.918600565700636
en.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-60.58919096619715
en.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-61.83895200702279
en.sub.lower.topic-model-100-5.stop-top-200	-62.477430952260384
en.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-60.709595097279
en.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-61.38850404352386
en.sub.lower.topic-model-100-6.stop-top-200	-62.8632404172662
en.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-61.46167027183709
en.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-60.87876078103827
en.sub.lower.topic-model-100-7.stop-top-200	-63.116898096226784
en.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-60.92400300370137
en.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-61.47789874296687
en.sub.lower.topic-model-100-8.stop-top-200	-63.34174039408681
en.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-60.66642112675319
en.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-62.835198307210675
en.sub.lower.topic-model-100-9.stop-top-200	-61.98140872821991
en.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-59.54324195009287
en.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-62.3166157041343
fa.sub.lower.topic-model-100-0.stop-top-200	-60.33781360134105
fa.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-60.03024565448599
fa.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-61.56524990383599
fa.sub.lower.topic-model-100-1.stop-top-200	-61.53572950262804
fa.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-60.67946624818162
fa.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-60.05941191894635
fa.sub.lower.topic-model-100-2.stop-top-200	-60.89073064880339
fa.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-60.74059506533334
fa.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-60.49964646179081
fa.sub.lower.topic-model-100-3.stop-top-200	-62.09625446139928
fa.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-59.55831211151067
fa.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-60.308051654664105
fa.sub.lower.topic-model-100-4.stop-top-200	-61.25849517734171
fa.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-61.452838964829546
fa.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-60.91888212026992
fa.sub.lower.topic-model-100-5.stop-top-200	-61.06347432750711
fa.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-60.50328960018085
fa.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-60.22572072008947
fa.sub.lower.topic-model-100-6.stop-top-200	-61.45542883473133
fa.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-61.21453286268846
fa.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-61.727640839713395
fa.sub.lower.topic-model-100-7.stop-top-200	-60.838792483303116
fa.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-60.504853448152744
fa.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-60.777352252082274
fa.sub.lower.topic-model-100-8.stop-top-200	-60.157843924828406
fa.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-61.2914107048844
fa.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-61.92032394955492
fa.sub.lower.topic-model-100-9.stop-top-200	-62.053684842524596
fa.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-62.22625959160928
fa.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-60.832537010572466
ko.sub.lower.topic-model-100-0.stop-top-200	-65.15317701473884
ko.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-66.66639297217702
ko.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-65.07621760257835
ko.sub.lower.topic-model-100-1.stop-top-200	-64.50628318555954
ko.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-66.74077756995824
ko.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-66.70878931252273
ko.sub.lower.topic-model-100-2.stop-top-200	-63.90380498517049
ko.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-66.0732889925891
ko.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-66.54774161711042
ko.sub.lower.topic-model-100-3.stop-top-200	-64.67433655862085
ko.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-67.70123572131511
ko.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-65.55934956103363
ko.sub.lower.topic-model-100-4.stop-top-200	-64.77227068033581
ko.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-66.54618510498958
ko.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-65.76646321119307
ko.sub.lower.topic-model-100-5.stop-top-200	-64.83167863430859
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-67.1694832420144
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-66.67303315103494
