subtask	score
en.sub.lower.topic-model-100-0.stop-top-200	-61.47671610441736
en.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-63.43751851538013
en.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-64.52198730387306
en.sub.lower.topic-model-100-1.stop-top-200	-62.46270878066799
en.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-63.863400188850875
en.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-64.66828377346015
en.sub.lower.topic-model-100-2.stop-top-200	-61.43150568734208
en.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-64.06850551218862
en.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-64.04006122218757
en.sub.lower.topic-model-100-3.stop-top-200	-62.820886255852386
en.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-64.33093303130308
en.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-61.95548383663871
en.sub.lower.topic-model-100-4.stop-top-200	-62.12529230491181
en.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-64.43299073810482
en.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-62.89730901578596
en.sub.lower.topic-model-100-5.stop-top-200	-62.164120648448595
en.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-63.948044962136585
en.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-64.02681263536587
en.sub.lower.topic-model-100-6.stop-top-200	-62.03448219426241
en.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-63.824562071597285
en.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-64.14491472217624
en.sub.lower.topic-model-100-7.stop-top-200	-62.60983969749325
en.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-64.68686521647382
en.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-64.40317023547725
en.sub.lower.topic-model-100-8.stop-top-200	-63.569494158649114
en.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-64.23301427077091
en.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-62.42202326603393
en.sub.lower.topic-model-100-9.stop-top-200	-61.629354900175485
en.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-64.81369562100119
en.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-62.251474932075745
fa.sub.lower.topic-model-100-0.stop-top-200	-60.090490826426986
fa.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-61.75895578436648
fa.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-61.432389987789456
fa.sub.lower.topic-model-100-1.stop-top-200	-61.139069711213814
fa.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-60.64044044475658
fa.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-61.65166613244187
fa.sub.lower.topic-model-100-2.stop-top-200	-60.558472875235005
fa.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-61.223940197999966
fa.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-62.01027581895473
fa.sub.lower.topic-model-100-3.stop-top-200	-62.51232717922904
fa.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-60.114723199652275
fa.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-61.04092215160148
fa.sub.lower.topic-model-100-4.stop-top-200	-60.57703055977745
fa.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-61.923808631568455
fa.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-60.96355168670009
fa.sub.lower.topic-model-100-5.stop-top-200	-61.08127959826645
fa.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-60.82756490806159
fa.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-60.57924016477934
fa.sub.lower.topic-model-100-6.stop-top-200	-61.52192093270016
fa.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-61.24039862211876
fa.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-60.49189701033031
fa.sub.lower.topic-model-100-7.stop-top-200	-60.75038012990403
fa.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-61.512033301608135
fa.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-61.37720582827159
fa.sub.lower.topic-model-100-8.stop-top-200	-60.29949632623356
fa.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-62.13786083897741
fa.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-62.10364421803885
fa.sub.lower.topic-model-100-9.stop-top-200	-61.991174567685306
fa.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-62.361648175358496
fa.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-59.60548535846836
ko.sub.lower.topic-model-100-0.stop-top-200	-65.16392782434336
ko.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-68.48551219096251
ko.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-64.82680147662445
ko.sub.lower.topic-model-100-1.stop-top-200	-64.41200447934371
ko.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-68.18630647685802
