var_arrays
"[{""wl"": [""политический"", ""движение"", ""община"", ""югославия"", ""болгарский"", ""результат""], ""id"": 5, ""wl_id"": ""0""}]"
"[{""wl"": [""международный"", ""развитие"", ""организация"", ""государство"", ""австрия"", ""страна""], ""id"": 5, ""wl_id"": ""1""}]"
"[{""wl"": [""выпустить"", ""the"", ""группа"", ""хозяйство"", ""альбом"", ""песня""], ""id"": 5, ""wl_id"": ""2""}]"
"[{""wl"": [""флота"", ""кораблей"", ""предприятия"", ""корабль"", ""португалии"", ""корабля""], ""id"": 5, ""wl_id"": ""3""}]"
"[{""wl"": [""дело"", ""министр"", ""регион"", ""правительство"", ""политический"", ""член""], ""id"": 5, ""wl_id"": ""4""}]"
"[{""wl"": [""компании"", ""префектура"", ""сети"", ""млн"", ""компания"", ""компаний""], ""id"": 5, ""wl_id"": ""5""}]"
"[{""wl"": [""японский"", ""коммуна"", ""япония"", ""смотреть"", ""префектура"", ""корея""], ""id"": 5, ""wl_id"": ""6""}]"
"[{""wl"": [""дело"", ""гора"", ""право"", ""лицо"", ""закон"", ""суд""], ""id"": 5, ""wl_id"": ""7""}]"
"[{""wl"": [""регион"", ""городской"", ""деление"", ""провинция"", ""португалия"", ""фон""], ""id"": 5, ""wl_id"": ""8""}]"
"[{""wl"": [""здания"", ""страны"", ""сша"", ""стран"", ""отношения"", ""индии""], ""id"": 5, ""wl_id"": ""9""}]"
"[{""wl"": [""язык"", ""слово"", ""когда"", ""фамилия"", ""диалект"", ""русский""], ""id"": 5, ""wl_id"": ""10""}]"
"[{""wl"": [""изображала"", ""икон"", ""икона"", ""кораблей"", ""великолепными"", ""алла""], ""id"": 5, ""wl_id"": ""11""}]"
"[{""wl"": [""армия"", ""противник"", ""армянский"", ""войско"", ""дивизия"", ""бой""], ""id"": 5, ""wl_id"": ""12""}]"
"[{""wl"": [""судно"", ""морской"", ""флот"", ""корабль"", ""использовать"", ""лодка""], ""id"": 5, ""wl_id"": ""13""}]"
"[{""wl"": [""форт"", ""сибирь"", ""давид"", ""разряд"", ""проводник"", ""курган""], ""id"": 5, ""wl_id"": ""14""}]"
"[{""wl"": [""the"", ""англия"", ""джон"", ""английский"", ""of"", ""когда""], ""id"": 5, ""wl_id"": ""15""}]"
"[{""wl"": [""объектов"", ""николас"", ""николаса"", ""кристофер"", ""отвели"", ""оформлено""], ""id"": 5, ""wl_id"": ""16""}]"
"[{""wl"": [""монет"", ""фунтов"", ""серебра"", ""обращения"", ""монеты"", ""православной""], ""id"": 5, ""wl_id"": ""17""}]"
"[{""wl"": [""майкл"", ""еврей"", ""графство"", ""ирландия"", ""питер"", ""каждый""], ""id"": 5, ""wl_id"": ""18""}]"
"[{""wl"": [""джон"", ""назад"", ""замок"", ""англии"", ""король"", ""короля""], ""id"": 5, ""wl_id"": ""19""}]"
"[{""wl"": [""уезд"", ""пунктов"", ""населённых"", ""османской"", ""образован"", ""провинции""], ""id"": 5, ""wl_id"": ""20""}]"
"[{""wl"": [""совет"", ""областного"", ""сельский"", ""совета"", ""почтовый"", ""председателем""], ""id"": 5, ""wl_id"": ""21""}]"
"[{""wl"": [""кости"", ""сока"", ""атрибута"", ""флор"", ""столичном"", ""оранжевой""], ""id"": 5, ""wl_id"": ""22""}]"
"[{""wl"": [""памятник"", ""выставка"", ""музей"", ""библиотека"", ""швейцария"", ""коллекция""], ""id"": 5, ""wl_id"": ""23""}]"
"[{""wl"": [""асср"", ""губернии"", ""таврической"", ""фон"", ""уезда"", ""согласно""], ""id"": 5, ""wl_id"": ""24""}]"
"[{""wl"": [""океан"", ""вода"", ""курорт"", ""глубина"", ""берег"", ""рыба""], ""id"": 5, ""wl_id"": ""25""}]"
"[{""wl"": [""порода"", ""килограмм"", ""вес"", ""лошадь"", ""горный"", ""казахстан""], ""id"": 5, ""wl_id"": ""26""}]"
"[{""wl"": [""длина"", ""цвета"", ""см"", ""год)"", ""семейства"", ""растений""], ""id"": 5, ""wl_id"": ""27""}]"
"[{""wl"": [""волной"", ""ускорению"", ""понятиям"", ""двигающийся"", ""темпа"", ""группы""], ""id"": 5, ""wl_id"": ""28""}]"
"[{""wl"": [""губернии"", ""тыс"", ""парк"", ""веке"", ""здесь"", ""парка""], ""id"": 5, ""wl_id"": ""29""}]"
"[{""wl"": [""искусство"", ""картина"", ""выставка"", ""художник"", ""художественный"", ""взрыв""], ""id"": 5, ""wl_id"": ""30""}]"
"[{""wl"": [""казахстан"", ""иран"", ""республика"", ""азия"", ""казахский"", ""партия""], ""id"": 5, ""wl_id"": ""31""}]"
"[{""wl"": [""коммуна"", ""года)"", ""германии"", ""земле"", ""официальный"", ""деревни""], ""id"": 5, ""wl_id"": ""32""}]"
"[{""wl"": [""древний"", ""эра"", ""наш"", ""век"", ""энергия"", ""период""], ""id"": 5, ""wl_id"": ""33""}]"
"[{""wl"": [""волосы"", ""кожи"", ""горячая"", ""лицо"", ""волос"", ""головы""], ""id"": 5, ""wl_id"": ""34""}]"
"[{""wl"": [""речной"", ""бассейн"", ""водохозяйственный"", ""далее"", ""водный"", ""реестр""], ""id"": 5, ""wl_id"": ""35""}]"
"[{""wl"": [""музея"", ""посёлок"", ""искусства"", ""картины"", ""выставки"", ""выставка""], ""id"": 5, ""wl_id"": ""36""}]"
"[{""wl"": [""иван"", ""стена"", ""верхний"", ""замок"", ""башня"", ""метр""], ""id"": 5, ""wl_id"": ""37""}]"
"[{""wl"": [""коммуна"", ""активный"", ""среди"", ""мужчина"", ""право"", ""департамент""], ""id"": 5, ""wl_id"": ""38""}]"
"[{""wl"": [""среди"", ""взрыв"", ""атомный"", ""ракетный"", ""испытание"", ""ядерный""], ""id"": 5, ""wl_id"": ""39""}]"
"[{""wl"": [""течение"", ""игр"", ""заболевания"", ""лечения"", ""лечение"", ""крови""], ""id"": 5, ""wl_id"": ""40""}]"
"[{""wl"": [""система"", ""группы"", ""данных"", ""системы"", ""игры"", ""управления""], ""id"": 5, ""wl_id"": ""41""}]"
"[{""wl"": [""палец"", ""топоним"", ""левый"", ""рука"", ""женщина"", ""нога""], ""id"": 5, ""wl_id"": ""42""}]"
"[{""wl"": [""движение"", ""пункт"", ""деревня"", ""сельсовет"", ""поселение"", ""сельский""], ""id"": 5, ""wl_id"": ""43""}]"
"[{""wl"": [""море"", ""гора"", ""озеро"", ""метр"", ""высота"", ""альбом""], ""id"": 5, ""wl_id"": ""44""}]"
"[{""wl"": [""иван"", ""князь"", ""русский"", ""герб"", ""род"", ""некоторый""], ""id"": 5, ""wl_id"": ""45""}]"
"[{""wl"": [""македонии"", ""турок"", ""греческих"", ""греческий"", ""османской"", ""типа""], ""id"": 5, ""wl_id"": ""46""}]"
"[{""wl"": [""пожарных"", ""галина"", ""если"", ""жест"", ""платья"", ""2-е""], ""id"": 5, ""wl_id"": ""47""}]"
"[{""wl"": [""язык"", ""языке"", ""слова"", ""языка"", ""языков"", ""переписи""], ""id"": 5, ""wl_id"": ""48""}]"
"[{""wl"": [""уже"", ""когда"", ""ещё"", ""александр"", ""день"", ""чтобы""], ""id"": 5, ""wl_id"": ""49""}]"
"[{""wl"": [""мир"", ""мнение"", ""жизнь"", ""считать"", ""часто"", ""идея""], ""id"": 5, ""wl_id"": ""50""}]"
"[{""wl"": [""род"", ""мм"", ""рода"", ""семейства"", ""компаний"", ""описание""], ""id"": 5, ""wl_id"": ""51""}]"
"[{""wl"": [""татьяна"", ""день"", ""далее"", ""пушкин"", ""оренбургский"", ""да""], ""id"": 5, ""wl_id"": ""52""}]"
"[{""wl"": [""село"", ""об"", ""почтовый"", ""р-н"", ""индекс"", ""украины""], ""id"": 5, ""wl_id"": ""53""}]"
"[{""wl"": [""франция"", ""растение"", ""французский"", ""кантон"", ""швейцария"", ""бельгия""], ""id"": 5, ""wl_id"": ""54""}]"
"[{""wl"": [""игра"", ""чемпионат"", ""турнир"", ""олимпийский"", ""день"", ""мир""], ""id"": 5, ""wl_id"": ""55""}]"
"[{""wl"": [""действие"", ""препарат"", ""клетка"", ""сезон"", ""заболевание"", ""лечение""], ""id"": 5, ""wl_id"": ""56""}]"
"[{""wl"": [""телескопов"", ""высота"", ""возвращающиеся"", ""горячая"", ""сия"", ""сконцентрировано""], ""id"": 5, ""wl_id"": ""57""}]"
"[{""wl"": [""берлин"", ""г"", ""земля"", ""фридрих"", ""германия"", ""германский""], ""id"": 5, ""wl_id"": ""58""}]"
"[{""wl"": [""карл"", ""венгрия"", ""австрия"", ""австрийский"", ""немецкий"", ""болгария""], ""id"": 5, ""wl_id"": ""59""}]"
"[{""wl"": [""островов"", ""моря"", ""острове"", ""острова"", ""остров"", ""здесь""], ""id"": 5, ""wl_id"": ""60""}]"
"[{""wl"": [""карл"", ""австрии"", ""общего"", ""коммуны"", ""карла"", ""фон""], ""id"": 5, ""wl_id"": ""61""}]"
"[{""wl"": [""сельского"", ""приставка"", ""поселение"", ""поселения"", ""образование"", ""сельское""], ""id"": 5, ""wl_id"": ""62""}]"
"[{""wl"": [""продукт"", ""москва"", ""сорт"", ""дерево"", ""цвет"", ""лист""], ""id"": 5, ""wl_id"": ""63""}]"
"[{""wl"": [""вооружение"", ""стрельба"", ""оружие"", ""театр"", ""пушка"", ""боевой""], ""id"": 5, ""wl_id"": ""64""}]"
"[{""wl"": [""голова"", ""лес"", ""белый"", ""сказка"", ""род"", ""животное""], ""id"": 5, ""wl_id"": ""65""}]"
