var_arrays
"[{""wl"": [""три"", ""описание"", ""польша"", ""швеция"", ""польский"", ""сторона""], ""id"": 7, ""wl_id"": ""0""}]"
"[{""wl"": [""переводчик"", ""писатель"", ""писать"", ""поэт"", ""литературный"", ""последний""], ""id"": 7, ""wl_id"": ""1""}]"
"[{""wl"": [""дворец"", ""дворца"", ""всех"", ""стиле"", ""президента"", ""резиденция""], ""id"": 7, ""wl_id"": ""2""}]"
"[{""wl"": [""устройство"", ""университет"", ""использовать"", ""система"", ""использование"", ""позволять""], ""id"": 7, ""wl_id"": ""3""}]"
"[{""wl"": [""святого"", ""церкви"", ""края"", ""русской"", ""церковь"", ""православной""], ""id"": 7, ""wl_id"": ""4""}]"
"[{""wl"": [""рамка"", ""программа"", ""ведущий"", ""вести"", ""политика"", ""задача""], ""id"": 7, ""wl_id"": ""5""}]"
"[{""wl"": [""провинция"", ""муниципалитет"", ""сообщество"", ""связь"", ""испания"", ""автономный""], ""id"": 7, ""wl_id"": ""6""}]"
"[{""wl"": [""обычно"", ""используется"", ""иногда"", ""константин"", ""термин"", ""часто""], ""id"": 7, ""wl_id"": ""7""}]"
"[{""wl"": [""департамент"", ""коммуна"", ""франции"", ""святого"", ""коммуны"", ""регионе""], ""id"": 7, ""wl_id"": ""8""}]"
"[{""wl"": [""основанная"", ""замок"", ""основана"", ""группу"", ""групп"", ""группа""], ""id"": 7, ""wl_id"": ""9""}]"
"[{""wl"": [""мира"", ""игр"", ""чемпион"", ""олимпийских"", ""призёр"", ""берегу""], ""id"": 7, ""wl_id"": ""10""}]"
"[{""wl"": [""главного"", ""назван"", ""открыт"", ""топоним"", ""юг"", ""честь""], ""id"": 7, ""wl_id"": ""11""}]"
"[{""wl"": [""правления"", ""книга"", ""японского"", ""ниже"", ""н"", ""императора""], ""id"": 7, ""wl_id"": ""12""}]"
"[{""wl"": [""село"", ""положение"", ""исполнение"", ""села"", ""географическое"", ""берегу""], ""id"": 7, ""wl_id"": ""13""}]"
"[{""wl"": [""построить"", ""дом"", ""белорусский"", ""здание"", ""рабочий"", ""постоянно""], ""id"": 7, ""wl_id"": ""14""}]"
"[{""wl"": [""испанская"", ""штат"", ""штата"", ""бразилии"", ""муниципалитет"", ""плотность""], ""id"": 7, ""wl_id"": ""15""}]"
"[{""wl"": [""далее"", ""северный"", ""центральный"", ""восточный"", ""западный"", ""южный""], ""id"": 7, ""wl_id"": ""16""}]"
"[{""wl"": [""друг"", ""альфред"", ""пгт"", ""посол"", ""одновременно"", ""узбекистан""], ""id"": 7, ""wl_id"": ""17""}]"
"[{""wl"": [""юге"", ""проекту"", ""построен"", ""фридрих"", ""мост"", ""марк""], ""id"": 7, ""wl_id"": ""18""}]"
"[{""wl"": [""мужской"", ""ряд"", ""женский"", ""зона"", ""исторический"", ""венгерский""], ""id"": 7, ""wl_id"": ""19""}]"
"[{""wl"": [""климат"", ""колумбия"", ""канада"", ""канадский"", ""сообщество"", ""мексика""], ""id"": 7, ""wl_id"": ""20""}]"
"[{""wl"": [""штат"", ""уезд"", ""губернии"", ""уезда"", ""единица"", ""иван""], ""id"": 7, ""wl_id"": ""21""}]"
"[{""wl"": [""бразилия"", ""построить"", ""линия"", ""станция"", ""железнодорожный"", ""штат""], ""id"": 7, ""wl_id"": ""22""}]"
"[{""wl"": [""трёх"", ""форма"", ""мощность"", ""общий"", ""информация"", ""четырёх""], ""id"": 7, ""wl_id"": ""23""}]"
"[{""wl"": [""национального"", ""парк"", ""создан"", ""индии"", ""сложные"", ""национальный""], ""id"": 7, ""wl_id"": ""24""}]"
"[{""wl"": [""белок"", ""железнодорожная"", ""станции"", ""станция"", ""дороги"", ""линии""], ""id"": 7, ""wl_id"": ""25""}]"
"[{""wl"": [""крепость"", ""др"", ""участие"", ""происходить"", ""значительный"", ""принимать""], ""id"": 7, ""wl_id"": ""26""}]"
"[{""wl"": [""связь"", ""месторождение"", ""миллион"", ""возраст"", ""горный"", ""север""], ""id"": 7, ""wl_id"": ""27""}]"
"[{""wl"": [""плотность"", ""регион"", ""коммуна"", ""италия"", ""лес"", ""располагаться""], ""id"": 7, ""wl_id"": ""28""}]"
"[{""wl"": [""ни"", ""крупный"", ""стороны"", ""русского"", ""кратер"", ""происхождение""], ""id"": 7, ""wl_id"": ""29""}]"
"[{""wl"": [""наталья"", ""иосиф"", ""константин"", ""алексей"", ""андрей"", ""другом""], ""id"": 7, ""wl_id"": ""30""}]"
"[{""wl"": [""чемпионат"", ""чемпион"", ""книга"", ""мир"", ""игра"", ""олимпийский""], ""id"": 7, ""wl_id"": ""31""}]"
"[{""wl"": [""сделать"", ""аппарат"", ""перевод"", ""космический"", ""традиционный"", ""спутник""], ""id"": 7, ""wl_id"": ""32""}]"
"[{""wl"": [""юг"", ""география"", ""приблизительно"", ""югу"", ""парижа"", ""начал""], ""id"": 7, ""wl_id"": ""33""}]"
"[{""wl"": [""сложные"", ""группах"", ""ранее"", ""короткие"", ""студент"", ""организацию""], ""id"": 7, ""wl_id"": ""34""}]"
"[{""wl"": [""язык"", ""большинство"", ""группа"", ""диалект"", ""друг"", ""основное""], ""id"": 7, ""wl_id"": ""35""}]"
"[{""wl"": [""поселения"", ""группа"", ""районного"", ""сельского"", ""образования"", ""расстояние""], ""id"": 7, ""wl_id"": ""36""}]"
"[{""wl"": [""основать"", ""деятельность"", ""организация"", ""университет"", ""японский"", ""становиться""], ""id"": 7, ""wl_id"": ""37""}]"
"[{""wl"": [""режиссёр"", ""премьера"", ""главной"", ""состоялась"", ""сюжет"", ""образование""], ""id"": 7, ""wl_id"": ""38""}]"
"[{""wl"": [""норвежский"", ""норвегия"", ""губерния"", ""швеция"", ""фонд"", ""четырёх""], ""id"": 7, ""wl_id"": ""39""}]"
"[{""wl"": [""полузащитник"", ""клубная"", ""оружия"", ""защитник"", ""футболист"", ""карьера""], ""id"": 7, ""wl_id"": ""40""}]"
"[{""wl"": [""рода"", ""род"", ""семейства"", ""см"", ""берегу"", ""описание""], ""id"": 7, ""wl_id"": ""41""}]"
"[{""wl"": [""представляют"", ""интерес"", ""вообще"", ""исполнение"", ""биологических"", ""агломерация""], ""id"": 7, ""wl_id"": ""42""}]"
"[{""wl"": [""населённый"", ""включать"", ""единственный"", ""пункт"", ""православный"", ""населённых""], ""id"": 7, ""wl_id"": ""43""}]"
"[{""wl"": [""рыба"", ""генрих"", ""королевский"", ""политика"", ""внешний"", ""восточный""], ""id"": 7, ""wl_id"": ""44""}]"
"[{""wl"": [""страны"", ""серия"", ""течение"", ""отношения"", ""мария"", ""считается""], ""id"": 7, ""wl_id"": ""45""}]"
"[{""wl"": [""исследование"", ""метод"", ""действие"", ""направление"", ""средство"", ""через""], ""id"": 7, ""wl_id"": ""46""}]"
"[{""wl"": [""системы"", ""компании"", ""переписи"", ""компания"", ""система"", ""создания""], ""id"": 7, ""wl_id"": ""47""}]"
"[{""wl"": [""результат"", ""структура"", ""поселение"", ""важный"", ""процесс"", ""клетка""], ""id"": 7, ""wl_id"": ""48""}]"
"[{""wl"": [""еврейский"", ""многий"", ""автор"", ""текст"", ""книга"", ""писательница""], ""id"": 7, ""wl_id"": ""49""}]"
"[{""wl"": [""адольф"", ""пройти"", ""комплекс"", ""нём"", ""генри"", ""сельский""], ""id"": 7, ""wl_id"": ""50""}]"
"[{""wl"": [""музыкальный"", ""альбом"", ""песня"", ""the"", ""группа"", ""писатель""], ""id"": 7, ""wl_id"": ""51""}]"
"[{""wl"": [""взять"", ""дважды"", ""монета"", ""технический"", ""будущий"", ""физика""], ""id"": 7, ""wl_id"": ""52""}]"
"[{""wl"": [""ядра"", ""синтеза"", ""франческо"", ""согласные"", ""энергии"", ""отношения""], ""id"": 7, ""wl_id"": ""53""}]"
"[{""wl"": [""футбольный"", ""японии"", ""клуба"", ""начал"", ""клуб"", ""основан""], ""id"": 7, ""wl_id"": ""54""}]"
"[{""wl"": [""корабль"", ""служить"", ""флот"", ""общество"", ""морской"", ""немецкий""], ""id"": 7, ""wl_id"": ""55""}]"
"[{""wl"": [""сооружение"", ""водохранилище"", ""сведение"", ""кроме"", ""канал"", ""план""], ""id"": 7, ""wl_id"": ""56""}]"
"[{""wl"": [""главный"", ""назвать"", ""открыть"", ""австрия"", ""клетка"", ""честь""], ""id"": 7, ""wl_id"": ""57""}]"
"[{""wl"": [""марта"", ""жизни"", ""июня"", ""группу"", ""епископ"", ""февраля""], ""id"": 7, ""wl_id"": ""58""}]"
"[{""wl"": [""актриса"", ""сюжет"", ""фильм"", ""театр"", ""хозяйство"", ""актёр""], ""id"": 7, ""wl_id"": ""59""}]"
"[{""wl"": [""советский"", ""военный"", ""великий"", ""спутник"", ""армия"", ""война""], ""id"": 7, ""wl_id"": ""60""}]"
"[{""wl"": [""медицины"", ""эдвард"", ""ибн"", ""фильмов"", ""испанская"", ""задача""], ""id"": 7, ""wl_id"": ""61""}]"
"[{""wl"": [""фон"", ""иоганн"", ""карл"", ""дороги"", ""германия"", ""немецкий""], ""id"": 7, ""wl_id"": ""62""}]"
"[{""wl"": [""поселения"", ""сельского"", ""берегу"", ""деревня"", ""страны"", ""география""], ""id"": 7, ""wl_id"": ""63""}]"
"[{""wl"": [""соединений"", ""экономики"", ""b"", ""автономного"", ""химии"", ""химических""], ""id"": 7, ""wl_id"": ""64""}]"
"[{""wl"": [""день"", ""последний"", ""носить"", ""народный"", ""течение"", ""муниципальный""], ""id"": 7, ""wl_id"": ""65""}]"
"[{""wl"": [""городского"", ""сложные"", ""типа"", ""посёлок"", ""пунктов"", ""населённых""], ""id"": 7, ""wl_id"": ""66""}]"
"[{""wl"": [""тысяч"", ""им"", ""монастырь"", ""три"", ""главный"", ""комплекс""], ""id"": 7, ""wl_id"": ""67""}]"
"[{""wl"": [""длина"", ""берегу"", ""джон"", ""водного"", ""протекает"", ""реестра""], ""id"": 7, ""wl_id"": ""68""}]"
"[{""wl"": [""становиться"", ""взять"", ""украина"", ""даже"", ""достаточно"", ""раз""], ""id"": 7, ""wl_id"": ""69""}]"
"[{""wl"": [""певица"", ""певец"", ""опера"", ""писательница"", ""конкурс"", ""произойти""], ""id"": 7, ""wl_id"": ""70""}]"
"[{""wl"": [""джон"", ""парижа"", ""аул"", ""северо-западе"", ""юго-западе"", ""бывший""], ""id"": 7, ""wl_id"": ""71""}]"
"[{""wl"": [""канала"", ""телевидения"", ""канал"", ""радио"", ""отдельное"", ""ведущий""], ""id"": 7, ""wl_id"": ""72""}]"
"[{""wl"": [""российской"", ""село"", ""данным"", ""переписи"", ""округа"", ""язык""], ""id"": 7, ""wl_id"": ""73""}]"
"[{""wl"": [""правило"", ""обычно"", ""иногда"", ""часто"", ""большинство"", ""форма""], ""id"": 7, ""wl_id"": ""74""}]"
"[{""wl"": [""семей"", ""н"", ""сорт"", ""винограда"", ""занимается"", ""обозначать""], ""id"": 7, ""wl_id"": ""75""}]"
"[{""wl"": [""поселение"", ""располагаться"", ""сельсовет"", ""сельский"", ""край"", ""районный""], ""id"": 7, ""wl_id"": ""76""}]"
"[{""wl"": [""семье"", ""джеймс"", ""французский"", ""род"", ""учился"", ""писатель""], ""id"": 7, ""wl_id"": ""77""}]"
"[{""wl"": [""численность"", ""сведения"", ""эдвард"", ""общие"", ""переписи"", ""всероссийской""], ""id"": 7, ""wl_id"": ""78""}]"
"[{""wl"": [""проживать"", ""перепись"", ""казахстан"", ""обозначение"", ""мужчина"", ""городской""], ""id"": 7, ""wl_id"": ""79""}]"
"[{""wl"": [""португалии"", ""пункт"", ""населённый"", ""городской"", ""относится"", ""муниципалитета""], ""id"": 7, ""wl_id"": ""80""}]"
"[{""wl"": [""поселения"", ""комплекс"", ""поселение"", ""образование"", ""муниципальное"", ""сельское""], ""id"": 7, ""wl_id"": ""81""}]"
"[{""wl"": [""одноимённой"", ""лишь"", ""членов"", ""созданный"", ""японский"", ""всего""], ""id"": 7, ""wl_id"": ""82""}]"
"[{""wl"": [""первой"", ""лодка"", ""война"", ""мировой"", ""кроме"", ""немецкий""], ""id"": 7, ""wl_id"": ""83""}]"
"[{""wl"": [""располагается"", ""образует"", ""плотность"", ""индекс"", ""провинции"", ""италии""], ""id"": 7, ""wl_id"": ""84""}]"
"[{""wl"": [""лесной"", ""база"", ""лес"", ""природный"", ""массив"", ""решение""], ""id"": 7, ""wl_id"": ""85""}]"
"[{""wl"": [""деревня"", ""химических"", ""могилёвской"", ""сельсовета"", ""беларусь"", ""республики""], ""id"": 7, ""wl_id"": ""86""}]"
"[{""wl"": [""джеймс"", ""объектов"", ""ранее"", ""назывался"", ""несколькими"", ""чего""], ""id"": 7, ""wl_id"": ""87""}]"
"[{""wl"": [""президента"", ""совет"", ""сельский"", ""совета"", ""украины"", ""включает""], ""id"": 7, ""wl_id"": ""88""}]"
"[{""wl"": [""народ"", ""иван"", ""род"", ""дворянский"", ""значительный"", ""русский""], ""id"": 7, ""wl_id"": ""89""}]"
"[{""wl"": [""уровнем"", ""метров"", ""моря"", ""над"", ""сельского"", ""высоте""], ""id"": 7, ""wl_id"": ""90""}]"
"[{""wl"": [""фр"", ""марокко"", ""р"", ""group"", ""de"", ""дж""], ""id"": 7, ""wl_id"": ""91""}]"
"[{""wl"": [""строительство"", ""руководитель"", ""библиотека"", ""руководство"", ""империя"", ""начаться""], ""id"": 7, ""wl_id"": ""92""}]"
"[{""wl"": [""генеральный"", ""грузия"", ""согласно"", ""министр"", ""епархия"", ""семь""], ""id"": 7, ""wl_id"": ""93""}]"
"[{""wl"": [""штат"", ""округе"", ""сша"", ""дж"", ""переписи"", ""американский""], ""id"": 7, ""wl_id"": ""94""}]"
"[{""wl"": [""российский"", ""ссср"", ""деятель"", ""государственный"", ""проект"", ""советский""], ""id"": 7, ""wl_id"": ""95""}]"
"[{""wl"": [""длина"", ""компания"", ""род"", ""описание"", ""растение"", ""семейство""], ""id"": 7, ""wl_id"": ""96""}]"
"[{""wl"": [""глава"", ""манга"", ""буква"", ""первая"", ""третий"", ""администрация""], ""id"": 7, ""wl_id"": ""97""}]"
"[{""wl"": [""сп"", ""класса"", ""весом"", ""десятилетия"", ""шахта"", ""нельзя""], ""id"": 7, ""wl_id"": ""98""}]"
"[{""wl"": [""волна"", ""следовать"", ""генри"", ""условие"", ""похожий"", ""благодаря""], ""id"": 7, ""wl_id"": ""99""}]"
"[{""wl"": [""момент"", ""средство"", ""элемент"", ""называться"", ""данный"", ""множество""], ""id"": 7, ""wl_id"": ""100""}]"
"[{""wl"": [""империя"", ""китайский"", ""период"", ""группа"", ""итальянский"", ""ранний""], ""id"": 7, ""wl_id"": ""101""}]"
"[{""wl"": [""сша"", ""перепись"", ""география"", ""штат"", ""важный"", ""американский""], ""id"": 7, ""wl_id"": ""102""}]"
"[{""wl"": [""церкви"", ""актриса"", ""кино"", ""польше"", ""гмина"", ""театра""], ""id"": 7, ""wl_id"": ""103""}]"
"[{""wl"": [""ссср"", ""лауреат"", ""ни"", ""им"", ""премии"", ""культуры""], ""id"": 7, ""wl_id"": ""104""}]"
"[{""wl"": [""без"", ""полный"", ""основатель"", ""называть"", ""выдающийся"", ""литература""], ""id"": 7, ""wl_id"": ""105""}]"
"[{""wl"": [""сын"", ""i"", ""всех"", ""ii"", ""де"", ""смерти""], ""id"": 7, ""wl_id"": ""106""}]"
"[{""wl"": [""династии"", ""веке"", ""н"", ""э"", ""компания"", ""века""], ""id"": 7, ""wl_id"": ""107""}]"
"[{""wl"": [""крупный"", ""сибирь"", ""рассматриваться"", ""and"", ""здание"", ""присутствовать""], ""id"": 7, ""wl_id"": ""108""}]"
