var_arrays
"[{""wl"": [""компания"", ""сеть"", ""проект"", ""род"", ""система"", ""программа""], ""id"": 4, ""wl_id"": ""0""}]"
"[{""wl"": [""церкви"", ""игры"", ""чтобы"", ""все"", ""ему"", ""очень""], ""id"": 4, ""wl_id"": ""1""}]"
"[{""wl"": [""чемпионат"", ""мужчина"", ""женщина"", ""перепись"", ""коммуна"", ""проживать""], ""id"": 4, ""wl_id"": ""2""}]"
"[{""wl"": [""организации"", ""водного"", ""речной"", ""м"", ""реестра"", ""данным""], ""id"": 4, ""wl_id"": ""3""}]"
"[{""wl"": [""the"", ""группы"", ""альбом"", ""альбома"", ""группа"", ""украины""], ""id"": 4, ""wl_id"": ""4""}]"
"[{""wl"": [""фильм"", ""песня"", ""группа"", ""the"", ""художник"", ""альбом""], ""id"": 4, ""wl_id"": ""5""}]"
"[{""wl"": [""конструкции"", ""мм"", ""вооружение"", ""все"", ""м"", ""машины""], ""id"": 4, ""wl_id"": ""6""}]"
"[{""wl"": [""церковь"", ""сын"", ""речной"", ""век"", ""король"", ""святой""], ""id"": 4, ""wl_id"": ""7""}]"
"[{""wl"": [""муниципалитета"", ""чемпионате"", ""команды"", ""мира"", ""клуб"", ""сборной""], ""id"": 4, ""wl_id"": ""8""}]"
"[{""wl"": [""женщин"", ""значения"", ""можно"", ""переписи"", ""средний"", ""года)""], ""id"": 4, ""wl_id"": ""9""}]"
"[{""wl"": [""совет"", ""когда"", ""провинция"", ""код"", ""украина"", ""почтовый""], ""id"": 4, ""wl_id"": ""10""}]"
"[{""wl"": [""женщин"", ""отечественной"", ""полка"", ""войны"", ""армии"", ""августа""], ""id"": 4, ""wl_id"": ""11""}]"
"[{""wl"": [""власти"", ""организации"", ""партии"", ""против"", ""реестра"", ""сша""], ""id"": 4, ""wl_id"": ""12""}]"
"[{""wl"": [""жизни"", ""все"", ""группа"", ""церкви"", ""ему"", ""него""], ""id"": 4, ""wl_id"": ""13""}]"
"[{""wl"": [""коммуны"", ""семейства"", ""коммуна"", ""неактивными"", ""н"", ""франции""], ""id"": 4, ""wl_id"": ""14""}]"
"[{""wl"": [""можно"", ""т"", ""наиболее"", ""века"", ""кратер"", ""например""], ""id"": 4, ""wl_id"": ""15""}]"
"[{""wl"": [""компании"", ""производства"", ""станция"", ""провинции"", ""компания"", ""станции""], ""id"": 4, ""wl_id"": ""16""}]"
"[{""wl"": [""м"", ""ссср"", ""наук"", ""университета"", ""член"", ""т""], ""id"": 4, ""wl_id"": ""17""}]"
"[{""wl"": [""описание"", ""совет"", ""село"", ""индекс"", ""украины"", ""переписи""], ""id"": 4, ""wl_id"": ""18""}]"
"[{""wl"": [""назван"", ""честь"", ""кратер"", ""водного"", ""муниципалитета"", ""земли""], ""id"": 4, ""wl_id"": ""19""}]"
"[{""wl"": [""община"", ""земля"", ""германия"", ""мужчина"", ""официальный"", ""немецкий""], ""id"": 4, ""wl_id"": ""20""}]"
"[{""wl"": [""деревня"", ""значение"", ""сельский"", ""уезд"", ""пункт"", ""поселение""], ""id"": 4, ""wl_id"": ""21""}]"
"[{""wl"": [""лечение"", ""военный"", ""армия"", ""войско"", ""война"", ""полк""], ""id"": 4, ""wl_id"": ""22""}]"
"[{""wl"": [""род"", ""растение"", ""семейство"", ""остров"", ""церковь"", ""длина""], ""id"": 4, ""wl_id"": ""23""}]"
"[{""wl"": [""италии"", ""например"", ""случае"", ""если"", ""системы"", ""можно""], ""id"": 4, ""wl_id"": ""24""}]"
