var_arrays
"[{""wl"": [""издание"", ""издания"", ""созданный"", ""средства"", ""выходит"", ""журнал""], ""id"": 3, ""wl_id"": ""0""}]"
"[{""wl"": [""небольшие"", ""друг"", ""обороны"", ""другом"", ""составе"", ""британского""], ""id"": 3, ""wl_id"": ""1""}]"
"[{""wl"": [""в"", ""на"", ""по"", ""с"", ""и"", ""на""], ""id"": 3, ""wl_id"": ""2""}]"
"[{""wl"": [""участие"", ""поэт"", ""культура"", ""писатель"", ""жизнь"", ""искусство""], ""id"": 3, ""wl_id"": ""3""}]"
"[{""wl"": [""транспорт"", ""ростовский"", ""изображение"", ""номер"", ""диалект"", ""устройство""], ""id"": 3, ""wl_id"": ""4""}]"
"[{""wl"": [""для"", ""боливия"", ""на"", ""год"", ""и"", ""быть""], ""id"": 3, ""wl_id"": ""5""}]"
"[{""wl"": [""пенсильвание"", ""греция"", ""флот"", ""морской"", ""греческий"", ""остров""], ""id"": 3, ""wl_id"": ""6""}]"
"[{""wl"": [""над"", ""суда"", ""бога"", ""слово"", ""юрист"", ""перевод""], ""id"": 3, ""wl_id"": ""7""}]"
"[{""wl"": [""влиянием"", ""нашей"", ""сильным"", ""дизайн"", ""свободное"", ""уровнем""], ""id"": 3, ""wl_id"": ""8""}]"
"[{""wl"": [""общий"", ""диалект"", ""говорить"", ""группа"", ""который"", ""народ""], ""id"": 3, ""wl_id"": ""9""}]"
"[{""wl"": [""волость"", ""уезд"", ""московский"", ""автомобиль"", ""губерния"", ""единица""], ""id"": 3, ""wl_id"": ""10""}]"
"[{""wl"": [""корпус"", ""должности"", ""мартин"", ""основное"", ""исследования"", ""данная""], ""id"": 3, ""wl_id"": ""11""}]"
"[{""wl"": [""безопасности"", ""генеральный"", ""моря"", ""международных"", ""дипломат"", ""глава""], ""id"": 3, ""wl_id"": ""12""}]"
"[{""wl"": [""с"", ""физический"", ""кристалл"", ""вода"", ""соединение"", ""движение""], ""id"": 3, ""wl_id"": ""13""}]"
"[{""wl"": [""над"", ""метров"", ""уровнем"", ""острова"", ""советской"", ""моря""], ""id"": 3, ""wl_id"": ""14""}]"
"[{""wl"": [""дом"", ""проект"", ""быть"", ""здание"", ""построить"", ""вода""], ""id"": 3, ""wl_id"": ""15""}]"
"[{""wl"": [""взаимодействия"", ""или"", ""существуют"", ""марка"", ""т"", ""п""], ""id"": 3, ""wl_id"": ""16""}]"
"[{""wl"": [""ставропольский"", ""италия"", ""хутор"", ""октябрьский"", ""дата"", ""основание""], ""id"": 3, ""wl_id"": ""17""}]"
"[{""wl"": [""редактор"", ""двумя"", ""замок"", ""представить"", ""сторона"", ""средневековый""], ""id"": 3, ""wl_id"": ""18""}]"
"[{""wl"": [""наш"", ""до"", ""мифология"", ""улица"", ""дочь"", ""эра""], ""id"": 3, ""wl_id"": ""19""}]"
"[{""wl"": [""журнал"", ""объединение"", ""экземпляр"", ""речь"", ""с"", ""модель""], ""id"": 3, ""wl_id"": ""20""}]"
"[{""wl"": [""направление"", ""течения"", ""проведения"", ""людей"", ""образ"", ""большинство""], ""id"": 3, ""wl_id"": ""21""}]"
"[{""wl"": [""хосе"", ""миллион"", ""аргентина"", ""аргентинский"", ""мадрид"", ""режим""], ""id"": 3, ""wl_id"": ""22""}]"
"[{""wl"": [""поселение"", ""значение"", ""используется"", ""содержит"", ""роль"", ""помощью""], ""id"": 3, ""wl_id"": ""23""}]"
"[{""wl"": [""против"", ""военного"", ""движения"", ""власти"", ""советской"", ""свойства""], ""id"": 3, ""wl_id"": ""24""}]"
"[{""wl"": [""материал"", ""из"", ""стадион"", ""праздник"", ""производство"", ""домашний""], ""id"": 3, ""wl_id"": ""25""}]"
"[{""wl"": [""депутат"", ""православный"", ""количество"", ""финляндия"", ""красноярский"", ""председатель""], ""id"": 3, ""wl_id"": ""26""}]"
"[{""wl"": [""японский"", ""также"", ""республика"", ""китайский"", ""и"", ""язык""], ""id"": 3, ""wl_id"": ""27""}]"
"[{""wl"": [""революционер"", ""инженер"", ""шесть"", ""греческий"", ""изобретатель"", ""македония""], ""id"": 3, ""wl_id"": ""28""}]"
"[{""wl"": [""исполнять"", ""который"", ""государство"", ""право"", ""дитя"", ""кметстве""], ""id"": 3, ""wl_id"": ""29""}]"
"[{""wl"": [""морской"", ""международном"", ""конструкция"", ""гэс"", ""авиационный"", ""конструкции""], ""id"": 3, ""wl_id"": ""30""}]"
"[{""wl"": [""бразилия"", ""компаний"", ""место"", ""группу"", ""групп"", ""крупнейших""], ""id"": 3, ""wl_id"": ""31""}]"
"[{""wl"": [""собой"", ""ширина"", ""представляет"", ""метра"", ""вокруг"", ""категории""], ""id"": 3, ""wl_id"": ""32""}]"
"[{""wl"": [""памятник"", ""игра"", ""культура"", ""игры"", ""э"", ""список""], ""id"": 3, ""wl_id"": ""33""}]"
"[{""wl"": [""горный"", ""годы"", ""средняя"", ""глубина"", ""месторождение"", ""м""], ""id"": 3, ""wl_id"": ""34""}]"
"[{""wl"": [""чтобы"", ""символ"", ""биологии"", ""училище"", ""из-за"", ""увеличения""], ""id"": 3, ""wl_id"": ""35""}]"
"[{""wl"": [""годы"", ""последние"", ""данная"", ""существования"", ""первые"", ""жизни""], ""id"": 3, ""wl_id"": ""36""}]"
"[{""wl"": [""процесс"", ""или"", ""от"", ""и"", ""род"", ""при""], ""id"": 3, ""wl_id"": ""37""}]"
"[{""wl"": [""буква"", ""происходить"", ""означать"", ""перевод"", ""высота"", ""слово""], ""id"": 3, ""wl_id"": ""38""}]"
"[{""wl"": [""списка"", ""олимпийского"", ""руки"", ""века"", ""учёные"", ""яйца""], ""id"": 3, ""wl_id"": ""39""}]"
"[{""wl"": [""почва"", ""уэльс"", ""землевладелец"", ""чиновник"", ""боливия"", ""придворный""], ""id"": 3, ""wl_id"": ""40""}]"
"[{""wl"": [""и"", ""родиться"", ""биография"", ""учиться"", ""род"", ""вес""], ""id"": 3, ""wl_id"": ""41""}]"
"[{""wl"": [""развития"", ""средняя"", ""целью"", ""организация"", ""общества"", ""организации""], ""id"": 3, ""wl_id"": ""42""}]"
"[{""wl"": [""организации"", ""группа"", ""кристаллы"", ""свойства"", ""нм"", ""образует""], ""id"": 3, ""wl_id"": ""43""}]"
"[{""wl"": [""февраль"", ""партия"", ""народный"", ""деятель"", ""президент"", ""член""], ""id"": 3, ""wl_id"": ""44""}]"
"[{""wl"": [""основа"", ""специальный"", ""быть"", ""принять"", ""государственный"", ""под""], ""id"": 3, ""wl_id"": ""45""}]"
"[{""wl"": [""архитектор"", ""символ"", ""расположение"", ""строительство"", ""построен"", ""комплекс""], ""id"": 3, ""wl_id"": ""46""}]"
"[{""wl"": [""полк"", ""соединение"", ""армии"", ""участие"", ""власти"", ""сил""], ""id"": 3, ""wl_id"": ""47""}]"
"[{""wl"": [""женщина"", ""мужской"", ""победитель"", ""пол"", ""река"", ""женский""], ""id"": 3, ""wl_id"": ""48""}]"
"[{""wl"": [""новых"", ""племя"", ""александра"", ""люди"", ""влияние"", ""народа""], ""id"": 3, ""wl_id"": ""49""}]"
"[{""wl"": [""род"", ""из"", ""польский"", ""xix"", ""искусств"", ""веке""], ""id"": 3, ""wl_id"": ""50""}]"
"[{""wl"": [""род"", ""вид"", ""и"", ""семейство"", ""из"", ""известный""], ""id"": 3, ""wl_id"": ""51""}]"
"[{""wl"": [""владелец"", ""крестьянин"", ""частный"", ""участок"", ""предприниматель"", ""лучший""], ""id"": 3, ""wl_id"": ""52""}]"
"[{""wl"": [""карелия"", ""основать"", ""озеро"", ""сведение"", ""de"", ""общий""], ""id"": 3, ""wl_id"": ""53""}]"
"[{""wl"": [""чтобы"", ""перед"", ""астраханский"", ""внимание"", ""открытие"", ""замок""], ""id"": 3, ""wl_id"": ""54""}]"
"[{""wl"": [""широкую"", ""лес"", ""текста"", ""среде"", ""окружающей"", ""«за""], ""id"": 3, ""wl_id"": ""55""}]"
"[{""wl"": [""деревня"", ""ф"", ""народный"", ""упоминаться"", ""карта"", ""ленинградский""], ""id"": 3, ""wl_id"": ""56""}]"
"[{""wl"": [""они"", ""ли"", ""класс"", ""были"", ""риме"", ""веках""], ""id"": 3, ""wl_id"": ""57""}]"
"[{""wl"": [""родиться"", ""советский"", ""год"", ""война"", ""тема"", ""биография""], ""id"": 3, ""wl_id"": ""58""}]"
"[{""wl"": [""участница"", ""редактор"", ""задача"", ""дальний"", ""ход"", ""финляндия""], ""id"": 3, ""wl_id"": ""59""}]"
"[{""wl"": [""уровень"", ""высота"", ""метр"", ""глубина"", ""месторождение"", ""море""], ""id"": 3, ""wl_id"": ""60""}]"
"[{""wl"": [""действие"", ""более"", ""чем"", ""общественный"", ""средство"", ""обладать""], ""id"": 3, ""wl_id"": ""61""}]"
"[{""wl"": [""вес"", ""совершил"", ""федерального"", ""международном"", ""представляла"", ""сан-франциско""], ""id"": 3, ""wl_id"": ""62""}]"
"[{""wl"": [""между"", ""воды"", ""отношения"", ""америки"", ""и"", ""двумя""], ""id"": 3, ""wl_id"": ""63""}]"
"[{""wl"": [""равный"", ""и"", ""компания"", ""предприятие"", ""основать"", ""общество""], ""id"": 3, ""wl_id"": ""64""}]"
"[{""wl"": [""поселение"", ""сельский"", ""центр"", ""происходить"", ""район"", ""область""], ""id"": 3, ""wl_id"": ""65""}]"
"[{""wl"": [""эпизод"", ""начаться"", ""сообщение"", ""гэс"", ""сезон"", ""строительство""], ""id"": 3, ""wl_id"": ""66""}]"
"[{""wl"": [""полное"", ""предприятие"", ""мира"", ""компания"", ""институт"", ""производства""], ""id"": 3, ""wl_id"": ""67""}]"
"[{""wl"": [""альбом"", ""песня"", ""памятник"", ""и"", ""год"", ""группа""], ""id"": 3, ""wl_id"": ""68""}]"
