var_arrays
"[{""wl"": [""семейства"", ""из"", ""второй"", ""и"", ""род"", ""вид""], ""id"": 2, ""wl_id"": ""0""}]"
"[{""wl"": [""и"", ""современный"", ""название"", ""улица"", ""место"", ""несколько""], ""id"": 2, ""wl_id"": ""1""}]"
"[{""wl"": [""год"", ""и"", ""род"", ""семейство"", ""вид"", ""остров""], ""id"": 2, ""wl_id"": ""2""}]"
"[{""wl"": [""население"", ""в"", ""и"", ""по"", ""единица"", ""на""], ""id"": 2, ""wl_id"": ""3""}]"
"[{""wl"": [""американский"", ""и"", ""в"", ""группа"", ""год"", ""и""], ""id"": 2, ""wl_id"": ""4""}]"
"[{""wl"": [""и"", ""быть"", ""век"", ""имя"", ""сын"", ""название""], ""id"": 2, ""wl_id"": ""5""}]"
"[{""wl"": [""типа"", ""кристаллы"", ""и"", ""и"", ""соединение"", ""с""], ""id"": 2, ""wl_id"": ""6""}]"
"[{""wl"": [""был"", ""и"", ""родился"", ""его"", ""он"", ""н""], ""id"": 2, ""wl_id"": ""7""}]"
"[{""wl"": [""и"", ""для"", ""на"", ""с"", ""компания"", ""на""], ""id"": 2, ""wl_id"": ""8""}]"
"[{""wl"": [""в"", ""год"", ""клуб"", ""остров"", ""за"", ""карьера""], ""id"": 2, ""wl_id"": ""9""}]"
"[{""wl"": [""советский"", ""и"", ""год"", ""биография"", ""война"", ""великий""], ""id"": 2, ""wl_id"": ""10""}]"
"[{""wl"": [""через"", ""его"", ""три"", ""начало"", ""род"", ""и""], ""id"": 2, ""wl_id"": ""11""}]"
"[{""wl"": [""аэропорт"", ""на"", ""за"", ""о"", ""и"", ""результате""], ""id"": 2, ""wl_id"": ""12""}]"
"[{""wl"": [""впервые"", ""типа"", ""как"", ""озеро"", ""деревня"", ""упоминается""], ""id"": 2, ""wl_id"": ""13""}]"
"[{""wl"": [""линии"", ""станция"", ""станции"", ""и"", ""между"", ""года""], ""id"": 2, ""wl_id"": ""14""}]"
"[{""wl"": [""и"", ""состоять"", ""себя"", ""с"", ""и"", ""представлять""], ""id"": 2, ""wl_id"": ""15""}]"
"[{""wl"": [""века"", ""деревня"", ""единица"", ""история"", ""году"", ""был""], ""id"": 2, ""wl_id"": ""16""}]"
"[{""wl"": [""года"", ""в"", ""биография"", ""и"", ""родился"", ""двух""], ""id"": 2, ""wl_id"": ""17""}]"
"[{""wl"": [""и"", ""при"", ""с"", ""вода"", ""или"", ""в""], ""id"": 2, ""wl_id"": ""18""}]"
"[{""wl"": [""над"", ""моря"", ""и"", ""м"", ""время"", ""части""], ""id"": 2, ""wl_id"": ""19""}]"
"[{""wl"": [""и"", ""год"", ""же"", ""о"", ""французский"", ""академия""], ""id"": 2, ""wl_id"": ""20""}]"
"[{""wl"": [""язык"", ""основать"", ""и"", ""с"", ""система"", ""для""], ""id"": 2, ""wl_id"": ""21""}]"
"[{""wl"": [""и"", ""биография"", ""год"", ""родиться"", ""российский"", ""и""], ""id"": 2, ""wl_id"": ""22""}]"
"[{""wl"": [""и"", ""в"", ""организация"", ""компания"", ""крупнейший"", ""основать""], ""id"": 2, ""wl_id"": ""23""}]"
"[{""wl"": [""не"", ""а"", ""или"", ""также"", ""самый"", ""как""], ""id"": 2, ""wl_id"": ""24""}]"
"[{""wl"": [""советский"", ""де"", ""и"", ""биография"", ""года"", ""родился""], ""id"": 2, ""wl_id"": ""25""}]"
"[{""wl"": [""и"", ""назвать"", ""год"", ""итальянский"", ""год"", ""главный""], ""id"": 2, ""wl_id"": ""26""}]"
"[{""wl"": [""на"", ""по"", ""@card@"", ""на"", ""район"", ""в""], ""id"": 2, ""wl_id"": ""27""}]"
"[{""wl"": [""система"", ""и"", ""между"", ""станция"", ""линия"", ""на""], ""id"": 2, ""wl_id"": ""28""}]"
"[{""wl"": [""городе"", ""улица"", ""место"", ""в"", ""де"", ""название""], ""id"": 2, ""wl_id"": ""29""}]"
"[{""wl"": [""в"", ""карьера"", ""части"", ""за"", ""года"", ""футболист""], ""id"": 2, ""wl_id"": ""30""}]"
"[{""wl"": [""и"", ""во"", ""страна"", ""по"", ""настоящий"", ""время""], ""id"": 2, ""wl_id"": ""31""}]"
"[{""wl"": [""под"", ""история"", ""быть"", ""год"", ""второй"", ""имя""], ""id"": 2, ""wl_id"": ""32""}]"
"[{""wl"": [""время"", ""и"", ""с"", ""двух"", ""году"", ""было""], ""id"": 2, ""wl_id"": ""33""}]"
"[{""wl"": [""он"", ""войны"", ""после"", ""время"", ""второй"", ""во""], ""id"": 2, ""wl_id"": ""34""}]"
"[{""wl"": [""в"", ""была"", ""с"", ""году"", ""года"", ""и""], ""id"": 2, ""wl_id"": ""35""}]"
"[{""wl"": [""один"", ""одна"", ""из"", ""одним"", ""род"", ""которых""], ""id"": 2, ""wl_id"": ""36""}]"
"[{""wl"": [""на"", ""вместе"", ""с"", ""серия"", ""первый"", ""о""], ""id"": 2, ""wl_id"": ""37""}]"
"[{""wl"": [""не"", ""и"", ""как"", ""и"", ""с"", ""или""], ""id"": 2, ""wl_id"": ""38""}]"
"[{""wl"": [""и"", ""два"", ""самый"", ""война"", ""один"", ""из""], ""id"": 2, ""wl_id"": ""39""}]"
