var_arrays
"[{""wl"": [""с"", ""на"", ""и"", ""году"", ""в"", ""с""], ""id"": 0, ""wl_id"": ""0""}]"
"[{""wl"": [""год"", ""на"", ""в"", ""и"", ""в"", ""компания""], ""id"": 0, ""wl_id"": ""1""}]"
"[{""wl"": [""в"", ""год"", ""на"", ""метр"", ""и"", ""быть""], ""id"": 0, ""wl_id"": ""2""}]"
"[{""wl"": [""что"", ""в"", ""на"", ""с"", ""не"", ""и""], ""id"": 0, ""wl_id"": ""3""}]"
"[{""wl"": [""в"", ""при"", ""с"", ""что"", ""и"", ""в""], ""id"": 0, ""wl_id"": ""4""}]"
"[{""wl"": [""и"", ""его"", ""с"", ""был"", ""на"", ""в""], ""id"": 0, ""wl_id"": ""5""}]"
"[{""wl"": [""в"", ""и"", ""с"", ""на"", ""для"", ""в""], ""id"": 0, ""wl_id"": ""6""}]"
"[{""wl"": [""на"", ""года"", ""за"", ""и"", ""и"", ""в""], ""id"": 0, ""wl_id"": ""7""}]"
"[{""wl"": [""на"", ""год"", ""язык"", ""@card@"", ""в"", ""по""], ""id"": 0, ""wl_id"": ""8""}]"
"[{""wl"": [""при"", ""года"", ""с"", ""и"", ""на"", ""в""], ""id"": 0, ""wl_id"": ""9""}]"
"[{""wl"": [""в"", ""с"", ""и"", ""году"", ""и"", ""она""], ""id"": 0, ""wl_id"": ""10""}]"
"[{""wl"": [""и"", ""по"", ""в"", ""и"", ""от"", ""на""], ""id"": 0, ""wl_id"": ""11""}]"
"[{""wl"": [""года"", ""года"", ""и"", ""в"", ""на"", ""с""], ""id"": 0, ""wl_id"": ""12""}]"
"[{""wl"": [""при"", ""с"", ""к"", ""в"", ""в"", ""и""], ""id"": 0, ""wl_id"": ""13""}]"
"[{""wl"": [""он"", ""в"", ""его"", ""в"", ""году"", ""и""], ""id"": 0, ""wl_id"": ""14""}]"
"[{""wl"": [""она"", ""лет"", ""и"", ""в"", ""на"", ""населения""], ""id"": 0, ""wl_id"": ""15""}]"
"[{""wl"": [""и"", ""в"", ""с"", ""в"", ""на"", ""из""], ""id"": 0, ""wl_id"": ""16""}]"
"[{""wl"": [""и"", ""в"", ""и"", ""о"", ""по"", ""на""], ""id"": 0, ""wl_id"": ""17""}]"
"[{""wl"": [""и"", ""для"", ""что"", ""или"", ""из"", ""в""], ""id"": 0, ""wl_id"": ""18""}]"
"[{""wl"": [""года"", ""года"", ""в"", ""с"", ""был"", ""году""], ""id"": 0, ""wl_id"": ""19""}]"
"[{""wl"": [""он"", ""и"", ""год"", ""быть"", ""в"", ""с""], ""id"": 0, ""wl_id"": ""20""}]"
"[{""wl"": [""и"", ""и"", ""на"", ""война"", ""армия"", ""в""], ""id"": 0, ""wl_id"": ""21""}]"
"[{""wl"": [""и"", ""и"", ""на"", ""год"", ""клуб"", ""в""], ""id"": 0, ""wl_id"": ""22""}]"
"[{""wl"": [""в"", ""святой"", ""в"", ""церковь"", ""с"", ""и""], ""id"": 0, ""wl_id"": ""23""}]"
"[{""wl"": [""как"", ""на"", ""в"", ""и"", ""язык"", ""и""], ""id"": 0, ""wl_id"": ""24""}]"
"[{""wl"": [""в"", ""году"", ""с"", ""г"", ""а"", ""и""], ""id"": 0, ""wl_id"": ""25""}]"
"[{""wl"": [""группа"", ""на"", ""и"", ""год"", ""в"", ""с""], ""id"": 0, ""wl_id"": ""26""}]"
"[{""wl"": [""и"", ""в"", ""с"", ""@card@"", ""на"", ""и""], ""id"": 0, ""wl_id"": ""27""}]"
"[{""wl"": [""был"", ""в"", ""с"", ""для"", ""и"", ""на""], ""id"": 0, ""wl_id"": ""28""}]"
"[{""wl"": [""на"", ""в"", ""и"", ""остров"", ""метр"", ""и""], ""id"": 0, ""wl_id"": ""29""}]"
"[{""wl"": [""река"", ""реки"", ""на"", ""по"", ""в"", ""км""], ""id"": 0, ""wl_id"": ""30""}]"
"[{""wl"": [""в"", ""в"", ""и"", ""с"", ""год"", ""по""], ""id"": 0, ""wl_id"": ""31""}]"
"[{""wl"": [""и"", ""для"", ""с"", ""мочь"", ""и"", ""в""], ""id"": 0, ""wl_id"": ""32""}]"
"[{""wl"": [""и"", ""партия"", ""по"", ""в"", ""с"", ""с""], ""id"": 0, ""wl_id"": ""33""}]"
"[{""wl"": [""в"", ""в"", ""с"", ""вид"", ""на"", ""и""], ""id"": 0, ""wl_id"": ""34""}]"
"[{""wl"": [""и"", ""с"", ""года"", ""в"", ""на"", ""по""], ""id"": 0, ""wl_id"": ""35""}]"
"[{""wl"": [""или"", ""с"", ""как"", ""и"", ""в"", ""и""], ""id"": 0, ""wl_id"": ""36""}]"
"[{""wl"": [""в"", ""он"", ""и"", ""что"", ""и"", ""не""], ""id"": 0, ""wl_id"": ""37""}]"
"[{""wl"": [""и"", ""г"", ""году"", ""был"", ""года"", ""в""], ""id"": 0, ""wl_id"": ""38""}]"
"[{""wl"": [""город"", ""на"", ""с"", ""год"", ""в"", ""и""], ""id"": 0, ""wl_id"": ""39""}]"
