клуб команда матч сезон карьера
метр здание гора около культура
машина двигатель завод корабль система
книга язык художник искусство произведение
клетка вещество лечение действие применение
группа альбом песня фильм the
чтобы когда я жизнь сам
коммуна мужчина женщина перепись проживать
игра мир чемпионат олимпийский турнир
страна правительство право партия организация
компания система программа проект сеть
век церковь сын святой король
г ссср российский институт университет
война армия войско военный полк
деревня сельский поселение пункт уезд
водный бассейн речной муниципалитет реестр
украина код совет провинция почтовый
язык например система значение использоваться
германия община немецкий земля официальный
остров род семейство растение длина
