filename	unknown	tokens	lines
wiki-1	6224	76624	76654
wiki-10	7411	89485	89635
wiki-100	8957	90911	91079
wiki-1000	10670	91028	91468
wiki-1001	10313	92757	93171
wiki-1002	10013	92861	93249
wiki-1003	10736	93731	94187
wiki-1004	9987	90707	91085
wiki-1005	9845	90187	90535
wiki-1006	10113	89848	90262
wiki-1007	9961	92219	92643
wiki-1008	9947	91832	92354
wiki-1009	10586	89580	90364
wiki-101	8664	91911	92021
wiki-1010	10924	88408	88794
wiki-1011	10020	90059	90529
wiki-1012	9569	89767	90131
wiki-1013	10543	92762	93200
wiki-1014	10958	93261	93707
wiki-1015	10645	93496	93944
wiki-1016	10454	91403	91807
wiki-1017	10788	92009	92321
wiki-1018	10873	91813	92235
wiki-1019	9795	88216	88862
wiki-102	9585	89235	89473
wiki-1020	10447	91603	92079
wiki-1021	10784	93249	93675
wiki-1022	10257	91835	92197
wiki-1023	10549	90173	90559
wiki-1024	10112	92139	92535
wiki-1025	10021	91621	91975
wiki-1026	10154	92249	92495
wiki-1027	10480	90257	90783
wiki-1028	10820	91783	92189
wiki-1029	10463	91207	91539
wiki-103	9363	90613	90745
wiki-1030	9272	89722	90066
wiki-1031	10541	93617	93913
wiki-1032	9209	89661	90019
wiki-1033	10369	91288	91688
wiki-1034	10494	91571	91937
wiki-1035	10076	87160	87558
wiki-1036	10214	90253	90617
wiki-1037	10283	92793	93083
wiki-1038	10415	92296	92688
wiki-1039	10098	91650	92034
wiki-104	8506	90336	90488
wiki-1040	9691	92028	92360
wiki-1041	11065	90968	91400
wiki-1042	11759	95169	95575
wiki-1043	10088	89738	90100
wiki-1044	10401	93056	93480
wiki-1045	10010	91877	92269
wiki-1046	10727	91339	91789
wiki-1047	9856	88890	89330
wiki-1048	10345	91001	91427
wiki-1049	9817	91293	91647
wiki-105	9924	93297	93633
wiki-1050	10366	91889	92333
wiki-1051	9932	91640	92050
wiki-1052	10447	92042	92492
wiki-1053	10387	90884	91384
wiki-1054	10408	92084	92532
wiki-1055	9854	92261	92629
wiki-1056	9706	89496	89966
wiki-1057	9484	91295	91705
wiki-1058	9472	89654	90000
wiki-1059	9947	92088	92484
wiki-106	7943	72831	72943
wiki-1060	10044	91813	92181
wiki-1061	8900	91154	91532
wiki-1062	9720	91848	92304
wiki-1063	9521	90607	91017
wiki-1064	9823	88573	88883
wiki-1065	10250	90301	90591
wiki-1066	9666	88113	89123
wiki-1067	10267	89204	89732
wiki-1068	9875	90331	90699
wiki-1069	10472	91124	91564
wiki-107	9085	89861	89983
wiki-1070	10290	89932	90280
wiki-1071	8533	72999	73319
wiki-1072	9754	90466	90760
wiki-1073	9696	93365	93735
wiki-1074	9150	90253	90649
wiki-1075	9880	89228	89542
wiki-1076	10164	92059	92375
wiki-1077	9884	86592	87060
wiki-1078	11380	94597	94937
wiki-1079	10085	91609	91979
wiki-108	8346	91256	91346
wiki-1080	10334	91837	92217
wiki-1081	9834	86966	87394
wiki-1082	10324	90597	90947
wiki-1083	9661	92547	92903
wiki-1084	10050	91357	91755
wiki-1085	10402	89665	90081
wiki-1086	10885	92264	92660
wiki-1087	10349	90330	90658
wiki-1088	10613	90604	91060
wiki-1089	10112	91298	91676
wiki-109	9401	91634	91858
wiki-1090	8764	84879	85227
wiki-1091	9702	92918	93290
wiki-1092	10264	91757	92115
wiki-1093	9884	94042	94386
wiki-1094	10166	88594	89504
wiki-1095	10458	92707	93133
wiki-1096	10572	90526	90916
wiki-1097	9382	90441	90733
wiki-1098	10311	91292	91740
wiki-1099	10710	91871	92215
wiki-11	9371	93308	93424
wiki-110	8781	89857	90023
wiki-1100	9653	90009	90423
wiki-1101	9483	90093	90493
wiki-1102	9618	89947	90363
wiki-1103	11162	93901	94253
wiki-1104	9632	89219	90063
wiki-1105	10371	83791	85341
wiki-1106	9657	89879	90333
wiki-1107	9569	87959	88425
wiki-1108	9640	91565	92025
wiki-1109	9585	86366	86630
wiki-111	9152	89149	89287
wiki-1110	10291	91108	91418
wiki-1111	10194	91897	92305
wiki-1112	10583	92299	92685
wiki-1113	9912	89890	90282
wiki-1114	10990	91478	91938
wiki-1115	10543	91608	92016
wiki-1116	10059	91091	91443
wiki-1117	9416	82916	83826
wiki-1118	9813	91229	91551
wiki-1119	10609	91041	91485
wiki-112	7211	72347	72413
wiki-1120	10711	91553	91985
wiki-1121	10922	92800	93276
